# ----------------------------------------
# סקירה כללית של היעד "ניתוח התנועה באתר או באפליקציה"
# חשבון: shukway
# נכס: shukway web
# ----------------------------------------
#  
# תאריך התחלה: 20260319
# תאריך סיום: 20260616
משתמשים שביצעו גלילה,פעילויות באתר,משתמשים חוזרים,ביקורים ראשונים
2386,5059,603,3084

#  
# תאריך התחלה: 20260319
# תאריך סיום: 20260616
מזהה מדינה,משתמשים פעילים
"אניו — בגדי גברים, אגריפס 88 | שוק מחנה יהודה | ShukWAY",5
"ארתור — מספרה, יפו 74 | שוק מחנה יהודה | ShukWAY",5
"באסטה בר — בר אוכל, השזיף 18 | שוק מחנה יהודה | ShukWAY",5
"דובשנית — מאפייה, מחנה יהודה 22 | שוק מחנה יהודה | ShukWAY",5
"הוגו בר — בר שתייה, השזיף 13 | שוק מחנה יהודה | ShukWAY",5
זול ובגדול — סופרמרקט | שוק מחנה יהודה | ShukWAY,5
חומוס בשוק מחנה יהודה | ShukWay,5
יין בשוק | שוק מחנה יהודה | ShukWAY,5
כנאפה טורקי — כנאפה | שוק מחנה יהודה | ShukWAY,5
"מאפיית קלדרון חנות מפעל — מאפייה, יפו 123 | שוק מחנה יהודה | ShukWAY",5
מוסרי — נרגילות ועישון | שוק מחנה יהודה | ShukWAY,5
"מיט טיים — מסעדת בשרים, הערמונים 2 א׳ | שוק מחנה יהודה | ShukWAY",5
מסעדה חלבית בשוק מחנה יהודה | ShukWay,5
מרכז הבמבוק — במבוק וקש | שוק מחנה יהודה | ShukWAY,5
משה במשק — מעדנייה | שוק מחנה יהודה | ShukWAY,5
"נאמן — פיצוחים ופירות יבשים, מחנה יהודה 5 | שוק מחנה יהודה | ShukWAY",5
"סבא ישראל — כיפות, אגריפס 67 | שוק מחנה יהודה | ShukWAY",5
סושי בשוק מחנה יהודה | ShukWay,5
צופית | שוק מחנה יהודה | ShukWAY,5
"צ׳יינג׳ — המרת מטבע, אגריפס 52 | שוק מחנה יהודה | ShukWAY",5
רחמו — אוכל ביתי מסורתי | שוק מחנה יהודה | ShukWAY,5
רישום עסק | ShukWay,5
תכשיטים בשוק מחנה יהודה | ShukWay,5
"Amnon Moshe — Vegetables, Ets Chaim 6 | Mahane Yehuda Market | ShukWAY",4
Aroma Espresso Bar — Coffee & Pastries | Mahane Yehuda…,4
"Barbara — Gastropub, Haegoz 30 | Mahane Yehuda Market | ShukWAY",4
"Basher — Cheese, Etz Chaim 53 | Mahane Yehuda Market | ShukWAY",4
"Burger Market — Burger, Agrippas 70 | Mahane Yehuda Market | ShukWAY",4
Crêpes & Waffles בשוק מחנה יהודה | ShukWay,4
Duvshenit Agripas — Bakery | Mahane Yehuda Market | ShukWAY,4
Ish Haetrogim — Juice Bar | Mahane Yehuda Market | ShukWAY,4
"Ivgi — Deli, Etz Chaim 47 | Mahane Yehuda Market | ShukWAY",4
Kitchen Essentials – Trending Home Products | TRENDVAULT,4
"New Deli — Sandwiches, Agrippas 62 | Mahane Yehuda Market | ShukWAY",4
Parking Lots בשוק מחנה יהודה | ShukWay,4
Thank You | TRENDVAULT,4
"The Etrog Man — Juice Bar, Al-Agoz 10 | Mahane Yehuda Market | ShukWAY",4
Traditional Home Cooking בשוק מחנה יהודה | ShukWay,4
"hadarya — תשמישי קדושה, עץ חיים 61 | שוק מחנה יהודה | ShukWAY",4
אטליז שלמה מגזימוף — בשר טרי | שוק מחנה יהודה | ShukWAY,4
"אליהו כהן — תכשיטי זהב ויהלומים, יפו 84 | שוק מחנה יהודה | ShukWAY",4
באשר — גבינות | שוק מחנה יהודה | ShukWAY,4
"בורגרס בר — המבורגר, עץ חיים 68 | שוק מחנה יהודה | ShukWAY",4
בית קלייה בשוק מחנה יהודה | ShukWay,4
"ברברי — בר שתייה, האפרסק 12 | שוק מחנה יהודה | ShukWAY",4
בשקביץ | שוק מחנה יהודה | ShukWAY,4
גבינות בשוק מחנה יהודה | ShukWay,4
"גברת פלפלת — חנות תה וחליטות, עץ חיים 6 | שוק מחנה יהודה | ShukWAY",4
"ג׳וני & קובנה — מאפים תימניים, אגריפס 78 | שוק מחנה יהודה | ShukWAY",4
"דפוס עמי פרס — דפוס, בית יעקב 2 | שוק מחנה יהודה | ShukWAY",4
"דרך הרמב״ם — חנות תה וחליטות, עץ חיים 19 | שוק מחנה יהודה | ShukWAY",4
הגלגל של שרדר — שווארמה | שוק מחנה יהודה | ShukWAY,4
"חכמת הבורקס מחיפה — בורקס, מחנה יהודה 26 | שוק מחנה יהודה | ShukWAY",4
"חלוטא אינפיוזד JLM — בר תה וחליטות, אגריפס 111 | שוק מחנה יהודה |…",4
חנות יין ואלכוהול בשוק מחנה יהודה | ShukWay,4
חניון שוק קניון — חניה | שוק מחנה יהודה | ShukWAY,4
"טוקיו — מסעדה אסייתית, אגריפס 111 | שוק מחנה יהודה | ShukWAY",4
טעמי השוק — סיור קולינרי מלא | ShukWay,4
"טקורו אנבסה — תבלינים אתיופיים, השזיף 7 | שוק מחנה יהודה | ShukWAY",4
יין ומשקאות בשוק מחנה יהודה | ShukWay,4
יפני — סושי | שוק מחנה יהודה | ShukWAY,4
"כיפה מן — כיפות, מחנה יהודה 26 | שוק מחנה יהודה | ShukWAY",4
כנאפה בשוק מחנה יהודה | ShukWay,4
מאפייה בשוק מחנה יהודה | ShukWay,4
מאפיית הלמן — מאפייה | שוק מחנה יהודה | ShukWAY,4
"מכבסה — מכבסה, ניסים בכר 33 | שוק מחנה יהודה | ShukWAY",4
"ממתקי עמי חיים — ממתקים, אגריפס 46 | שוק מחנה יהודה | ShukWAY",4
מעדני צדקיהו — מעדנייה | שוק מחנה יהודה | ShukWAY,4
מפגש השוק — חנות נוחות | שוק מחנה יהודה | ShukWAY,4
ניידות חשמלית בשוק מחנה יהודה | ShukWay,4
נעליים בשוק מחנה יהודה | ShukWay,4
סימה — מסעדת בשרים | שוק מחנה יהודה | ShukWAY,4
"סמוק בורגר — המבורגר, הערמונים 5 | שוק מחנה יהודה | ShukWAY",4
"פיצוחי עמדי — פיצוחים ופירות יבשים, עץ חיים 50 | שוק מחנה יהודה |…",4
פיצוחים ופירות יבשים בשוק מחנה יהודה | ShukWay,4
פלאפל בשוק מחנה יהודה | ShukWay,4
קולומביה אאוטלט — אאוטלט | שוק מחנה יהודה | ShukWAY,4
רוזמרין — תבלינים | שוק מחנה יהודה | ShukWAY,4
"רימון — פירות, עץ חיים 59 | שוק מחנה יהודה | ShukWAY",4
"רמי לוי בשוק — סופרמרקט, השקמה 4 | שוק מחנה יהודה | ShukWAY",4
שוק קפה — בית קלייה | שוק מחנה יהודה | ShukWAY,4
"שרותים ציבוריים — שירותים, אגריפס 111 | שוק מחנה יהודה | ShukWAY",4
תבלינים בשוק מחנה יהודה | ShukWay,4
"תוצרת הארץ — פיצוחים ופירות יבשים, עץ חיים 1 | שוק מחנה יהודה | ShukWAY",4
"Aluf Hachamutzim — Pickles & Salads, Mahane Yehuda 3 | Mahane Yehuda Market…",3
"Avraham Levi — Fruits, Etz Chaim 57 | Mahane Yehuda Market | ShukWAY",3
Burgers Bar — Burger | Mahane Yehuda Market | ShukWAY,3
"Chanuna — Schnitzel, Agrippas 54 | Mahane Yehuda Market | ShukWAY",3
"Chatzot — Steakhouse, Agrippas 123 | Mahane Yehuda Market | ShukWAY",3
Chochmat Haburekas Mechaifa — Bourekas | Mahane Yehuda…,3
Delis & Pickles בשוק מחנה יהודה | ShukWay,3
"Duvshenit Agripas — Bakery, Agrippas 66 | Mahane Yehuda Market | ShukWAY",3
"Dwiny Pita Bar — Pita & Meat, Beit Yaakov 6 | Mahane Yehuda Market |…",3
English Cake — Patisserie | Mahane Yehuda Market | ShukWAY,3
"English Cake — Patisserie, Agrippas 103 | Mahane Yehuda Market | ShukWAY",3
"Flora — Pizza, Hadekel 2 | Mahane Yehuda Market | ShukWAY",3
Home & Craft בשוק מחנה יהודה | ShukWay,3
Hookah & Smoking בשוק מחנה יהודה | ShukWay,3
Hummus Eliyahu — Hummus | Mahane Yehuda Market | ShukWAY,3
"Hummus Ha’agas 1 — Hummus, Eliyahu Yaakov Benai 1 | Mahane Yehuda Market | ShukWAY",3
Jahanun Bar — Yemenite Pastries | Mahane Yehuda Market |…,3
Jewelry בשוק מחנה יהודה | ShukWay,3
"Khachapuria — Khachapuri, Hashikma 5 | Mahane Yehuda Market | ShukWAY",3
Mamlechet HaChalva Mahane Yehuda — Halva & Tahini Shop |…,3
Mufleta בשוק מחנה יהודה | ShukWay,3
"Murdoch — Traditional Home Cooking, Agrippas 70 | Mahane Yehuda Market…",3
"Naarri Hamarvad — Shawarma, Jaffa 121 | Mahane Yehuda Market | ShukWAY",3
New Deli — Sandwiches | Mahane Yehuda Market | ShukWAY,3
"Nona — Moflatot, Hatut 3 | Mahane Yehuda Market | ShukWAY",3
"Nona — Mufleta, Hatut 3 | Mahane Yehuda Market | ShukWAY",3
Power CoffeeWorks — Coffee Roastery | Mahane Yehuda Market…,3
Privacy policy,3
Products – Trending Home Products | TRENDVAULT,3
"Rachmo — Traditional Home Cooking, Haeshkol 5 | Mahane Yehuda Market |…",3
Refund policy,3
Rimon Etz Chaim 59 — Fruits | Mahane Yehuda Market | ShukWAY,3
"Schroder's wheel — Shawarma, HaTut 7 | Mahane Yehuda Market | ShukWAY",3
Services & Transport בשוק מחנה יהודה | ShukWay,3
Shuk Cafe — Coffee Roastery | Mahane Yehuda Market | ShukWAY,3
Sucreries בשוק מחנה יהודה | ShukWay,3
"Tap and Tail — Gastropub, Ets Chaim 6 | Mahane Yehuda Market | ShukWAY",3
Téléphonie et technologie בשוק מחנה יהודה | ShukWay,3
Women's Clothing בשוק מחנה יהודה | ShukWay,3
Кондитерская בשוק מחנה יהודה | ShukWay,3
אברהם לוי — פירות | שוק מחנה יהודה | ShukWAY,3
אברהמי | שוק מחנה יהודה | ShukWAY,3
אדידס | שוק מחנה יהודה | ShukWAY,3
"איבגי — מעדנייה, עץ חיים 47 | שוק מחנה יהודה | ShukWAY",3
"איטליז דוד און — בשר טרי, מחנה יהודה 8 | שוק מחנה יהודה | ShukWAY",3
אייפון זול — חנות סלולר | שוק מחנה יהודה | ShukWAY,3
"אנקונה — טקסטיל לבית, האפרסק 5 | שוק מחנה יהודה | ShukWAY",3
באבי — מסעדת בשרים | שוק מחנה יהודה | ShukWAY,3
בורגרס בר — המבורגר | שוק מחנה יהודה | ShukWAY,3
בית ומלאכה בשוק מחנה יהודה | ShukWay,3
"בית קפה מנו און — קפה ומאפים, בית יעקב 5 | שוק מחנה יהודה | ShukWAY",3
"בית של תה ותבלין — חנות תה וחליטות, עץ חיים 71 | שוק מחנה יהודה |…",3
"בנק דיסקונט — בנק, יפו 103 | שוק מחנה יהודה | ShukWAY",3
ברברה — בר אוכל | שוק מחנה יהודה | ShukWAY,3
גברת פלפלת — חנות תה וחליטות | שוק מחנה יהודה | ShukWAY,3
גלולס | שוק מחנה יהודה | ShukWAY,3
"גרעיני עפולה — פיצוחים ופירות יבשים, יפו 119 | שוק מחנה יהודה |…",3
ג׳חנון בר — מאפים תימניים | שוק מחנה יהודה | ShukWAY,3
"ג׳חנון בר — מאפים תימניים, האגוז 14 | שוק מחנה יהודה | ShukWAY",3
המשמח יין ואלכוהול — חנות יין ואלכוהול | שוק מחנה יהודה |…,3
"הקצבים — בשר טרי, עץ חיים 85 | שוק מחנה יהודה | ShukWAY",3
"השמן — שווארמה, אגריפס 115 | שוק מחנה יהודה | ShukWAY",3
חומוס האגס 1 — חומוס | שוק מחנה יהודה | ShukWAY,3
חכמת הבורקס מחיפה — בורקס | שוק מחנה יהודה | ShukWAY,3
חליטות ותה בשוק מחנה יהודה | ShukWay,3
חנונה | שוק מחנה יהודה | ShukWAY,3
חניון שוק קניון | שוק מחנה יהודה | ShukWAY,3
טלר — מאפייה | שוק מחנה יהודה | ShukWAY,3
טרמינל 3 — חנות יין ואלכוהול | שוק מחנה יהודה | ShukWAY,3
"טרמינל 3 — חנות יין ואלכוהול, אגריפס 105 | שוק מחנה יהודה | ShukWAY",3
"ישר מחנה יהודה — כלי בית, מחנה יהודה 14 | שוק מחנה יהודה | ShukWAY",3
כהן חמוצים — מעדנייה | שוק מחנה יהודה | ShukWAY,3
"כנאפה טורקי — כנאפה, עץ חיים 45 | שוק מחנה יהודה | ShukWAY",3
כנאפה עיר דוד | שוק מחנה יהודה | ShukWAY,3
"מאפיית הלמן — מאפייה, מחנה יהודה 1 | שוק מחנה יהודה | ShukWAY",3
מאפים תימניים בשוק מחנה יהודה | ShukWay,3
"מוחיטו — ברד ומשקאות קרים, התות 1 | שוק מחנה יהודה | ShukWAY",3
מזומן בשוק מחנה יהודה | ShukWay,3
"ממלכת החלבה — חלבה וטחינה חנות, מחנה יהודה 10 | שוק מחנה יהודה | ShukWAY",3
"מעדני צדקיהו חלבי ודגים — מעדנייה, עץ חיים 63 | שוק מחנה יהודה | ShukWAY",3
"מעדני צדקיהו — מעדנייה, עץ חיים 70 | שוק מחנה יהודה | ShukWAY",3
"מעדני צ׳ונה — מעדנייה, מחנה יהודה 19 | שוק מחנה יהודה | ShukWAY",3
מרקים ותבשילים בשוק מחנה יהודה | ShukWay,3
מתנות ויודאיקה בשוק מחנה יהודה | ShukWay,3
"סופר שוק — סופרמרקט, מחנה יהודה 15 | שוק מחנה יהודה | ShukWAY",3
סלולר וטכנולוגיה בשוק מחנה יהודה | ShukWay,3
עזורא — בורקס | שוק מחנה יהודה | ShukWAY,3
פיתה ובשר בשוק מחנה יהודה | ShukWay,3
קהילה בשוק מחנה יהודה | ShukWay,3
קוקי קרים — גלידה | שוק מחנה יהודה | ShukWAY,3
קפה ותבלינים בשוק מחנה יהודה | ShukWay,3
קרייב — אוכל מקסיקני | שוק מחנה יהודה | ShukWAY,3
רמי לוי בשוק | שוק מחנה יהודה | ShukWAY,3
רמי לוי בשוק — סופרמרקט | שוק מחנה יהודה | ShukWAY,3
"שאול תמרוקים — קוסמטיקה, מחנה יהודה 49 | שוק מחנה יהודה | ShukWAY",3
"שבי מרקט — סופרמרקט, ניסים בכר 33 | שוק מחנה יהודה | ShukWAY",3
שווארמה בשוק מחנה יהודה | ShukWay,3
Ahrala — Crepes & Waffles | Mahane Yehuda Market | ShukWAY,2
Aluf Hachamutzim — Pickles & Salads | Mahane Yehuda Market…,2
"Arais Mahane Yehuda — Arayes, Agrippas 115 | Mahane Yehuda Market |…",2
Arayes בשוק מחנה יהודה | ShukWay,2
Avraham Levi — Fruits | Mahane Yehuda Market | ShukWAY,2
Avrahami — Spices | Mahane Yehuda Market | ShukWAY,2
"Bar Bachar — Gastropub, Nissim Bachar 8 | Mahane Yehuda Market | ShukWAY",2
Bar à manger בשוק מחנה יהודה | ShukWay,2
"Bashkevich — Coffee & Spices, Etz Chaim 32 | Mahane Yehuda Market |…",2
Basta Bar — Gastropub | Mahane Yehuda Market | ShukWAY,2
Beauty בשוק מחנה יהודה | ShukWay,2
"Beerbazar — Drinks Bar, Etz Haim 3 | Mahane Yehuda Market | ShukWAY",2
"Birkat Hashem — Judaica, Haegoz 18 | Mahane Yehuda Market | ShukWAY",2
"Bitkat Moshe — Leafy Greens, Hachruv 2 | Mahane Yehuda Market | ShukWAY",2
Burekas בשוק מחנה יהודה | ShukWay,2
Chanuna — Schnitzel | Mahane Yehuda Market | ShukWAY,2
"Coffee Market — Roasting House, 8 Haparsak | Mahane Yehuda Market | ShukWAY",2
Efraim Bibi Mahane Yehuda — Fruits & Vegetables | Mahane…,2
"Elnatan Ben Hamu — Fruits, Mahane Yehuda 8 | Mahane Yehuda Market | ShukWAY",2
Fashion & Footwear בשוק מחנה יהודה | ShukWay,2
"Fishan chips — Fish & Chips, Haegoz 14 | Mahane Yehuda Market | ShukWAY",2
Gifts & Souvenirs בשוק מחנה יהודה | ShukWay,2
Hadarya — Judaica | Mahane Yehuda Market | ShukWAY,2
"Hadas — Women's Clothing, Jaffa 90 | Mahane Yehuda Market | ShukWAY",2
"Hafrikase Shel Chaim — Pretzel, Haegoz 6 | Mahane Yehuda Market |…",2
"Hellman Bakery — Bakery, Mahane Yehuda 1 | Mahane Yehuda Market | ShukWAY",2
Home & Kitchen בשוק מחנה יהודה | ShukWay,2
Home Décor בשוק מחנה יהודה | ShukWay,2
"Hummus Eliyahu — Hummus, Hashezif 4 | Mahane Yehuda Market | ShukWAY",2
Itlis Hateomim Magzimof — Fresh Meat | Mahane Yehuda…,2
"Jerusalem Kanafeh — Knafeh, Etz Chaim 24 | Mahane Yehuda Market | ShukWAY",2
Judaica בשוק מחנה יהודה | ShukWay,2
"Katzefet — Ice Cream, Agrippas 72 | Mahane Yehuda Market | ShukWAY",2
Knafeh בשוק מחנה יהודה | ShukWay,2
"Levi Brothers Falafel — Falafel, Mahane Yehuda 53 | Mahane Yehuda Market |…",2
Login | ShukWay,2
"Ma'adanei Uri U'Vanav — Deli, Mahane Yehuda 18 | Mahane Yehuda Market |…",2
Maadanei Tzidkiyahu Chalavi VeDagim — Deli | Mahane Yehuda…,2
Maadanei Tzidkiyahu Etz Chaim 27 — Deli | Mahane Yehuda…,2
"Machne Asada — Pita & Meat, Haegoz 13 | Mahane Yehuda Market | ShukWAY",2
Meat Restaurant בשוק מחנה יהודה | ShukWay,2
"Mimonis — Vegan & Vegetarian, Agrippas 115 | Mahane Yehuda Market |…",2
"Mousseline — Ice Cream, Haarmonim 2 B | Mahane Yehuda Market | ShukWAY",2
Nona — Mufleta | Mahane Yehuda Market | ShukWAY,2
Power Coffeeworks | שוק מחנה יהודה | ShukWAY,2
Restaurant de viande בשוק מחנה יהודה | ShukWay,2
Roastery בשוק מחנה יהודה | ShukWay,2
"Schuti Bashuk — Juice Bar, Jaffa 112 | Mahane Yehuda Market | ShukWAY",2
Shipping policy,2
"Shuk Cafe — Coffee Roastery, Haafarsek 8 | Mahane Yehuda Market | ShukWAY",2
"Sima — Steakhouse, Agrippa 82 | Mahane Yehuda Market | ShukWAY",2
"The Big Gingi — Drinks Bar, Hashezif 13 | Mahane Yehuda Market | ShukWAY",2
"The Wisdom of Borax from Haifa — Borax, Mahane Yehuda 26 | Mahane Yehuda Market | ShukWAY",2
Traditional Sweets בשוק מחנה יהודה | ShukWay,2
TrendVault – Your Home. Upgraded.,2
"Yappani — Sushi, Haegoz 3 | Mahane Yehuda Market | ShukWAY",2
"Yehudit — Steakhouse, Haarmonim 5 | Mahane Yehuda Market | ShukWAY",2
Yemenite Pastries בשוק מחנה יהודה | ShukWay,2
hadarya | שוק מחנה יהודה | ShukWAY,2
Основные услуги בשוק מחנה יהודה | ShukWay,2
"אדרת — תשמישי קדושה, אגריפס 56 | שוק מחנה יהודה | ShukWAY",2
אול מובייל — חנות סלולר | שוק מחנה יהודה | ShukWAY,2
"אופטיק דוב — אופטיקה, אגריפס 88 | שוק מחנה יהודה | ShukWAY",2
אופן חשמלי | שוק מחנה יהודה | ShukWAY,2
אופניים חשמליים בשוק מחנה יהודה | ShukWay,2
"אוריג׳ינלס — נעלי נוחות, אגריפס 88 | שוק מחנה יהודה | ShukWAY",2
איבגי | שוק מחנה יהודה | ShukWAY,2
"איטליז רפאל — בשר טרי, החרוב 12 | שוק מחנה יהודה | ShukWAY",2
אלוף החמוצים | שוק מחנה יהודה | ShukWAY,2
אלנתן בן חמו — פירות | שוק מחנה יהודה | ShukWAY,2
"אמנון משה — ירקות, עץ חיים 6 | שוק מחנה יהודה | ShukWAY",2
"באני לאבי — בגדי ילדים, יפו 104 | שוק מחנה יהודה | ShukWAY",2
באסטה בר — בר אוכל | שוק מחנה יהודה | ShukWAY,2
בגדי ישי אהרן | שוק מחנה יהודה | ShukWAY,2
בוטיק סנטרל — קונדיטוריה | שוק מחנה יהודה | ShukWAY,2
בורגרס בר | שוק מחנה יהודה | ShukWAY,2
ביגוד בשוק מחנה יהודה | ShukWay,2
בית מרקחת בקשי | שוק מחנה יהודה | ShukWAY,2
"בר בכר — בר אוכל, ניסים בכר 8 | שוק מחנה יהודה | ShukWAY",2
בריאות בשוק מחנה יהודה | ShukWay,2
בריאות וטיפוח בשוק מחנה יהודה | ShukWay,2
"ברכת השם — תשמישי קדושה, האגוז 18 | שוק מחנה יהודה | ShukWAY",2
"ברכת משה — ירקות עלים, החרוב 2 | שוק מחנה יהודה | ShukWAY",2
בשקביץ — חנות קפה ותבלינים | שוק מחנה יהודה | ShukWAY,2
בשר טרי בשוק מחנה יהודה | ShukWay,2
גואה — נרגילות ועישון | שוק מחנה יהודה | ShukWAY,2
"גואה — נרגילות ועישון, האשכול 4 | שוק מחנה יהודה | ShukWAY",2
גרעיני עפולה | שוק מחנה יהודה | ShukWAY,2
"גת עקיבא — גת, שמואל ברוך 11 | שוק מחנה יהודה | ShukWAY",2
ג׳וני & קובנה | שוק מחנה יהודה | ShukWAY,2
"ג׳ינג׳י הגדול — בר שתייה, השזיף 13 | שוק מחנה יהודה | ShukWAY",2
דוד דגים — דגים טריים | שוק מחנה יהודה | ShukWAY,2
הוגו בר — בר שתייה | שוק מחנה יהודה | ShukWAY,2
המבורגר בשוק מחנה יהודה | ShukWay,2
הקצביה של ששון | שוק מחנה יהודה | ShukWAY,2
"הקצביה של ששון — עופות, התפוח 3 | שוק מחנה יהודה | ShukWAY",2
"השרוף — חד פעמי, אגריפס 117 | שוק מחנה יהודה | ShukWAY",2
"זול ובגדול — סופרמרקט, יפו 115 | שוק מחנה יהודה | ShukWAY",2
חומרי בניין וחשמל בשוק מחנה יהודה | ShukWay,2
חלבה וטחינה בשוק מחנה יהודה | ShukWay,2
חמוצים וסלטים בשוק מחנה יהודה | ShukWay,2
חצות — מסעדת בשרים | שוק מחנה יהודה | ShukWAY,2
טבעוני וצמחוני בשוק מחנה יהודה | ShukWay,2
יהודית — מסעדת בשרים | שוק מחנה יהודה | ShukWAY,2
"יער הקקאו — שוקולד, עץ חיים 60 | שוק מחנה יהודה | ShukWAY",2
"כהן חמוצים — מעדנייה, מחנה יהודה 8 | שוק מחנה יהודה | ShukWAY",2
"כל החנות 33 — בגדים במחירי שוק, מחנה יהודה 1 | שוק מחנה יהודה | ShukWAY",2
כנאף — כנאפה בשרית | שוק מחנה יהודה | ShukWAY,2
"כנאף — כנאפה בשרית, האגוז 15 | שוק מחנה יהודה | ShukWAY",2
"כנאפה עיר דוד — כנאפה, עץ חיים 26 | שוק מחנה יהודה | ShukWAY",2
כריכים ונקניקים בשוק מחנה יהודה | ShukWay,2
לוטו | שוק מחנה יהודה | ShukWAY,2
מופלטות בשוק מחנה יהודה | ShukWay,2
מוצרי טבע ובריאות בשוק מחנה יהודה | ShukWay,2
"מורנו — פיצוחים ופירות יבשים, מחנה יהודה 2 | שוק מחנה יהודה | ShukWAY",2
"מחנה אסאדה — פיתה ובשר, האגוז 13 | שוק מחנה יהודה | ShukWAY",2
מימוניס — טבעוני וצמחוני | שוק מחנה יהודה | ShukWAY,2
מכולת וסופר בשוק מחנה יהודה | ShukWay,2
מסעדה אסייתית בשוק מחנה יהודה | ShukWay,2
"מעדני צדקיהו — מעדנייה, עץ חיים 27 | שוק מחנה יהודה | ShukWAY",2
מרציפן | שוק מחנה יהודה | ShukWAY,2
משכן התכלת — תשמישי קדושה | שוק מחנה יהודה | ShukWAY,2
מתנות ומזכרות בשוק מחנה יהודה | ShukWay,2
נונה | שוק מחנה יהודה | ShukWAY,2
ניו דלי — כריכים ונקניקים | שוק מחנה יהודה | ShukWAY,2
"ניצת הדובדבן — חנות טבע, אגריפס 99 | שוק מחנה יהודה | ShukWAY",2
"סופר זול אגריפס — סופרמרקט, אגריפס 79 | שוק מחנה יהודה | ShukWAY",2
"סופר צ׳יפ — סופרמרקט, ניסים בכר 37 | שוק מחנה יהודה | ShukWAY",2
עוגיות בשוק מחנה יהודה | ShukWay,2
"עזורא — בורקס, מחנה יהודה 18 | שוק מחנה יהודה | ShukWAY",2
עלמא — מרקייה | שוק מחנה יהודה | ShukWAY,2
עראיס בשוק מחנה יהודה | ShukWay,2
"פאטשו בוטיק — קונדיטוריה, אגריפס 88 | שוק מחנה יהודה | ShukWAY",2
"פיינגולד — לחמים, האפרסק 1 | שוק מחנה יהודה | ShukWAY",2
פיננסים ושירותים בשוק מחנה יהודה | ShukWay,2
"פיש אנד ציפס — פיש אנד ציפס, האגוז 14 | שוק מחנה יהודה | ShukWAY",2
"פלאפל האחים לוי — פלאפל, מחנה יהודה 53 | שוק מחנה יהודה | ShukWAY",2
פסטה באסטה — מסעדה חלבית | שוק מחנה יהודה | ShukWAY,2
פרחי לכיש | שוק מחנה יהודה | ShukWAY,2
צ׳יינג׳ — המרת מטבע | שוק מחנה יהודה | ShukWAY,2
"קריספי — ממתקים, מחנה יהודה 6 | שוק מחנה יהודה | ShukWAY",2
קרפים ווופלים בשוק מחנה יהודה | ShukWay,2
"תבליני בן יוסף דוד — תבלינים, התות 4 | שוק מחנה יהודה | ShukWAY",2
"תכשיטי כהן — תכשיטי זהב ויהלומים, יפו 96 | שוק מחנה יהודה | ShukWAY",2
"תכשיטי שמואל כהן — תכשיטי זהב ויהלומים, אגריפס 78 | שוק מחנה יהודה |…",2
404 Not Found,1
A.D.M. Jewelry — Gold & Diamond Jewelry | Mahane Yehuda…,1
ATM in Mahane Yehuda Market | ShukWay,1
About Us | TRENDVAULT,1
About Us – TrendVault,1
"Aderet Agripas 56 — Judaica, Agrippas 56 | Mahane Yehuda Market | ShukWAY",1
Agrippas Drinks — Wine & Alcohol Shop | Mahane Yehuda…,1
All Mobile Mahane Yehuda — Mobile Phone Store | Mahane…,1
Alma — Soup Bar | Mahane Yehuda Market | ShukWAY,1
Ami Chaim Sweets — Sweets | Mahane Yehuda Market | ShukWAY,1
Amnon Moshe — Vegetables | Mahane Yehuda Market | ShukWAY,1
Ancona — Home Textiles | Mahane Yehuda Market | ShukWAY,1
"Avrahami — Spices, Haegoz 22 | Mahane Yehuda Market | ShukWAY",1
BABI — Steakhouse | Mahane Yehuda Market | ShukWAY,1
"Babari — Drinks Bar, Haafarsek 12 | Mahane Yehuda Market | ShukWAY",1
Bar Bachar — Gastropub | Mahane Yehuda Market | ShukWAY,1
"Beauty Li — Fashion Jewelry, Mahane Yehuda 26 | Mahane Yehuda Market | ShukWAY",1
Ben Zion A. Cohen — Toys | Mahane Yehuda Market | ShukWAY,1
Bisrabek — Burger | Mahane Yehuda Market | ShukWAY,1
"Bisrabek — Burger, Agrippas 121 | Mahane Yehuda Market | ShukWAY",1
"Café LYON — Coffee & Pastries, Jaffa 119 | Mahane Yehuda Market |…",1
Candy בשוק מחנה יהודה | ShukWay,1
Categories | ShukWay,1
Chalati — Schnitzel | Mahane Yehuda Market | ShukWAY,1
Chocolate בשוק מחנה יהודה | ShukWay,1
Clothing בשוק מחנה יהודה | ShukWay,1
Cohen Pickles — Deli | Mahane Yehuda Market | ShukWAY,1
Collections,1
Crave — Mexican Food | Mahane Yehuda Market | ShukWAY,1
Dairy Restaurant בשוק מחנה יהודה | ShukWay,1
David Fish — Fresh Fish | Mahane Yehuda Market | ShukWAY,1
"Destory — Nuts & Dried Fruits, Mahane Yehuda 28 | Mahane Yehuda Market |…",1
Duvshenit Mahane Yehuda — Bakery | Mahane Yehuda Market |…,1
Eini Parking — Parking | Mahane Yehuda Market | ShukWAY,1
Eliyahu Brothers Delicacies — Nuts & Dried Fruits | Mahane…,1
Eliyahu Cohen — Gold & Diamond Jewelry | Mahane Yehuda…,1
"Etrog Agripas — Judaica, Agrippas 67 | Mahane Yehuda Market | ShukWAY",1
"Freeze Bar — Juice Bar, Agrippas 62 | Mahane Yehuda Market | ShukWAY",1
Goa — Hookah & Smoking | Mahane Yehuda Market | ShukWAY,1
"Goa — Hookah & Smoking, Haeshcol 4 | Mahane Yehuda Market | ShukWAY",1
